Russian,English,icon_url,license_description,attribution
люди,people,https://static.thenounproject.com/png/2300-200.png,creative-commons-attribution,people by Roman J. Sokolov from Noun Project
человек,"person, man, human being, people",https://static.thenounproject.com/png/2231-200.png,creative-commons-attribution,person by Antonis Makriyannis from Noun Project
год,year,https://static.thenounproject.com/png/247259-200.png,creative-commons-attribution,year by Rohit Arun Rao from Noun Project
время,time,https://static.thenounproject.com/png/6731-200.png,creative-commons-attribution,Time by Richard de Vos from Noun Project
рука,"hand, arm",https://static.thenounproject.com/png/1260-200.png,creative-commons-attribution,Hand by Ugur Akdemir from Noun Project
дело,"matter, business, thing, affair",https://static.thenounproject.com/png/1821975-200.png,creative-commons-attribution,matter by Andrejs Kirma from Noun Project
раз,"time, occurrence, one (counting)",https://static.thenounproject.com/png/6731-200.png,creative-commons-attribution,Time by Richard de Vos from Noun Project
жизнь,life,https://static.thenounproject.com/png/84835-200.png,creative-commons-attribution,life by Alex Fuller from Noun Project
день,"day, afternoon",https://static.thenounproject.com/png/29099-200.png,creative-commons-attribution,day by Maurizio Fusillo from Noun Project
голова,head,https://static.thenounproject.com/png/19401-200.png,creative-commons-attribution,Head by Yorlmar Campos from Noun Project
друг,"friend, boyfriend",https://static.thenounproject.com/png/5332-200.png,creative-commons-attribution,Friend by Oleg Frolov from Noun Project
дом,"house, apartment building",https://static.thenounproject.com/png/1309-200.png,creative-commons-attribution,House by John Caserta from Noun Project
слово,word,https://static.thenounproject.com/png/95000-200.png,creative-commons-attribution,word by Richard Schumann from Noun Project
место,place,https://static.thenounproject.com/png/342346-200.png,creative-commons-attribution,place by S Madsen from Noun Project
лицо,"face, character",https://static.thenounproject.com/png/5186-200.png,creative-commons-attribution,Face by Mike Rowe from Noun Project
сторона,"side, direction",https://static.thenounproject.com/png/192127-200.png,creative-commons-attribution,side by Magicon from Noun Project
нога,"foot, leg",https://static.thenounproject.com/png/67773-200.png,creative-commons-attribution,foot by iconsmind.com from Noun Project
дверь,door,https://static.thenounproject.com/png/2182-200.png,creative-commons-attribution,Door by Anas Ramadan from Noun Project
